word,frequency
Astariga,54
Hrdaya,92
CHAUKHAMBA,5
AYURVEDA,3
Illustrated,2
Astanga,298
Vagbhata,154
including,24
MAULIKA,3
CCIM,5
Dr,36
VIDYANATH,2
MD,2
PhD,2
Ayurveda,185
Ayurvedic,37
Chaukhamba,2
Surbharati,2
Prakashan,5
transmitted,6
means,177
Astaiiga,11
PRAKASHAN,2
Publishers,2
Gopal,2
Mandir,2
Varanasi,16
co,24
www,2
com,30
Vaidya,4
resorts,2
affairs,3
having,913
values,2
diseases,670
namo,2
words,61
Sutrasthana,5
authored,2
Vidyanath,4
comprises,4
comments,2
aspects,17
efforts,11
names,34
photographs,2
plants,93
diagrams,3
instruments,167
procedures,35
adopts,3
Sarigraha,24
created,18
Sastra,42
appears,37
exercising,3
students,12
teachers,6
prescribed,152
texts,56
sets,18
called,248
Brhattrayi,4
Laghutrayi,3
Caraka,119
Susruta,26
Sarhhita,25
Sarhhitas,2
counted,3
scholars,18
Madhava,5
Bhavaprakasa,2
pre,44
traditions,2
represents,8
Gupta,9
gives,100
has,657
persons,243
facts,13
believed,6
treatises,13
periods,9
authors,11
controversies,2
seems,18
Vatsyayana,2
Varahamihira,2
viz,142
classics,8
Agnivesa,14
Nagarjuna,12
ideas,11
Su,1767
compiled,5
Sangraha,33
terms,34
earlier,42
carries,11
chapters,70
divisions,25
described,180
reflects,2
Samhitas,5
differences,3
Sthana,70
Bhela,6
Kasyapa,5
Indriya,4
Cikitsa,12
Kalpa,16
Uttara,30
representing,2
vs,5
incorporates,2
Tantras,5
reproduces,2
summarized,3
diverted,3
limits,3
contains,43
Ayuskamiya,15
Dinacharya,17
Rtucarya,14
Roganutpadaniya,7
Drava,37
Vijnaniya,64
Annaswarupa,3
Annaraksa,15
Matrasitiya,17
Dravyadi,12
Rasabhediya,12
Dosadi,12
Dosabhediya,15
Dosopakramaniya,9
Sodhanadi,2
gana,154
Sneha,44
vidhi,180
Sweda,8
Vamana,82
virecana,64
Vasti,44
Nasya,156
Dhumapana,26
Gandusadi,12
Ascotana,16
anjana,39
Tarpana,16
putapaka,41
Yantra,22
Siravyadha,15
Salyaharana,12
Sastrakarma,18
Ksara,30
agnikarma,5
presented,12
followed,111
caring,2
follows,72
illustrated,2
illustrations,6
verified,2
editions,13
readers,10
years,96
TTft,3
rT,18
II,960
BHU,2
Jodhpur,2
demanded,2
books,8
essentials,4
branches,40
entitled,41
bringing,14
contained,15
Harita,5
etc,1218
says,10
