ASCII,label
aaaanjan,1
aaaap,1
aaabdam,1
aaac,1
aaaj,1
aaakramiit,1
aaanc,1
aaanj,1
aaantam,1
aaarkam,1
aaashri,1
aaataan,1
aaavai,1
aabaadh,1
aabaadha,1
aabaadhaa,1
aabaalam,1
aabaalyam,1
aababhaaja,1
aababhuuva,1
aabaddha,1
aabaddhaanjali,1
aabaddhadrishti,1
aabaddhamaala,1
aabaddhamandala,1
aabadh,1
aabadhe,1
aabadhnaat,1
aabahutamaatpurushaat,1
aabalya,1
aabandh,1
aabandha,1
aabandhana,1
aabandhura,1
aabarha,1
aabarham,1
aabarhana,1
aabarhin,1
aabarhita,1
aabayo,1
aabayu,1
aabdam,1
aabdika,1
aabhaa,1
aabhaag,1
aabhaahi,1
aabhaanaka,1
aabhaarsham,1
aabhaas,1
aabhaasa,1
aabhaasana,1
aabhaasataa,1
aabhaasatva,1
aabhaash,1
aabhaasha,1
aabhaashana,1
aabhaashita,1
aabhaashya,1
aabhaasin,1
aabhaasura,1
aabhaasvara,1
aabhaata,1
aabhaati,1
aabhaga,1
aabhaj,1
aabhaja,1
aabhajaniiya,1
aabhajasva,1
aabhandana,1
aabhangin,1
aabhara,1
aabharadvasava,1
aabharadvasu,1
aabharana,1
aabharanasthaana,1
aabharita,1
aabhavas,1
aabhayajaata,1
aabhayajaatya,1
aabherii,1
aabhicaarika,1
aabhicaranika,1
aabhid,1
aabhidhaa,1
aabhidhaaniiyaka,1
aabhidhaanika,1
aabhidhaataka,1
aabhihaarika,1
aabhiika,1
aabhiikshna,1
aabhiikshnya,1
aabhiila,1
aabhiira,1
aabhiiraa,1
aabhiiraka,1
aabhiirapalli,1
aabhiirapallii,1
aabhiirii,1
aabhiirika,1
aabhiishana,1
aabhiishava,1
aabhiishavaadya,1
aabhiishavottara,1
aabhijaatya,1
aabhijana,1
aabhijita,1
aabhijitya,1
aabhijnaanika,1
aabhikaamika,1
aabhimaanika,1
aabhimanyava,1
aabhimukhya,1
aabhimukhyakarana,1
aabhiplavika,1
aabhipraayika,1
aabhiprataarina,1
aabhiraamika,1
aabhiruupaka,1
aabhiruupya,1
aabhis,1
aabhishasya,1
aabhishecanika,1
aabhisheka,1
aabhiyogika,1
aabhoga,1
aabhogaya,1
aabhogi,1
aabhogin,1
aabhojin,1
aabhra,1
aabhraaja,1
aabhri,1
aabhrika,1
aabhrita,1
aabhritaatman,1
aabhrya,1
aabhu,1
aabhugna,1
aabhugnasaktha,1
aabhuu,1
aabhuuka,1
aabhuumipaala,1
