IAST_normalized,ASCII
abhaktam,abhaktam
abhāvaḥ,abhaavah
abheṣajam,abheshajam
abhighāta_virecanavyāpat,abhighaata_virecanavyaapat
abhighātaja_arocakaḥ,abhighaataja_arocakah
abhighātaja_liṅganāśaḥ,abhighaataja_linganaashah
abhighātaja_oṣṭhaprakopaḥ,abhighaataja_oshthaprakopah
abhighātajaśophaḥ,abhighaatajashophah
abhighātajavraṇaśophaḥ,abhighaatajavranashophah
abhiṣyandaḥ,abhishyandah
abhiṣyandi,abhishyandi
abhrakam,abhrakam
abhukta_bhaktasya_anuvāsanasya_vyāpadaḥ,abhukta_bhaktasya_anuvaasanasya_vyaapadah
abhukte_ca_praṇītasya_sneha_basti_vyāpad,abhukte_ca_praniitasya_sneha_basti_vyaapad
abhyaṅgaḥ,abhyangah
abhyaṅgakarma_(vraṇacikitsā),abhyangakarma_(vranacikitsaa)
ābhyantara_kṛmiḥ,aabhyantara_krimih
ābhyantarahetuḥ,aabhyantarahetuh
ābhyantarasnehaḥ,aabhyantarasnehah
abhyanujñā,abhyanujnaa
abhyāsaḥ,abhyaasah
abhyavaharaṇa_śaktiḥ,abhyavaharana_shaktih
abrahmacharyam,abrahmacharyam
abudhnavraṇaḥ,abudhnavranah
ācārarasāyanam,aacaararasaayanam
ācārarasāyanam,aacaararasaayanam
acchasnehaḥ,acchasnehah
acetana_dravyam,acetana_dravyam
ācūṣaṇakarma,aacuushanakarma
ācūṣaṇakarma,aacuushanakarma
adhaḥkāyaḥ,adhahkaayah
adhaḥkṣipta_sandhimuktam,adhahkshipta_sandhimuktam
adhaḥpātanam,adhahpaatanam
adhaḥsrotaḥ,adhahsrotah
āḍhakam,aadhakam
adharagudam,adharagudam
adharaḥ,adharah
ādhāraḥ,aadhaarah
adharamārgaḥ,adharamaargah
adhāraṇīya_vegaḥ,adhaaraniiya_vegah
adharatrikam,adharatrikam
adharauṣṭhaḥ,adharaushthah
ādhibhautikarogaḥ,aadhibhautikarogah
ādhidaivikarogaḥ,aadhidaivikarogah
adhijihvā,adhijihvaa
adhijihvikā,adhijihvikaa
adhikaraṇam,adhikaranam
adhimāṃsaḥ,adhimaamsah
adhimāṃsajārma,adhimaamsajaarma
adhimanthaḥ,adhimanthah
adhipatiḥ_(marma),adhipatih_(marma)
ādhmānabastivyāpat,aadhmaanabastivyaapat
ādhmānam,aadhmaanam
ādhmānam,aadhmaanam
ādhmānam_vamanavyāpat,aadhmaanam_vamanavyaapat
ādhmānavirecanavyāpat,aadhmaanavirecanavyaapat
ādhmāta_virecanavyāpat,aadhmaata_virecanavyaapat
adhobhaktaḥ,adhobhaktah
adhoga_amlapittam,adhoga_amlapittam
adhogaraktapitta_virecanavyāpat,adhogaraktapitta_virecanavyaapat
adhovātavegarodhaḥ,adhovaatavegarodhah
adhruṣaḥ,adhrushah
adhvajanyarājayakṣmā,adhvajanyaraajayakshmaa
adhyarbudaḥ,adhyarbudah
ādhyātmika,aadhyaatmika
ādhyātmikarogaḥ,aadhyaatmikarogah
ādibalapravṛttarogaḥ,aadibalapravrittarogah
ādityapāka,aadityapaaka
adravyabhūtacikitsā,adravyabhuutacikitsaa
adṛṣṭam,adrishtam
agadaḥ,agadah
agadatantram,agadatantram
āgantu_kṣavathuḥ,aagantu_kshavathuh
āgantujachardiḥ,aagantujachardih
